ds,y,yhat,yhat_lower,yhat_upper,error,abs_error,pct_error
2018-09-01,2396,2101.3130853682824,1755.0376465378827,2487.7326895948054,294.6869146317176,294.6869146317176,12.299119976282038
2018-09-02,2412,2162.397006209717,1790.1630404100156,2526.3103727906073,249.6029937902831,249.6029937902831,10.348382827126166
2018-09-03,1038,1305.1814066793984,907.2134133680863,1675.2086012702084,-267.1814066793984,267.1814066793984,25.740019911310057
2018-09-04,1012,1134.7031271241162,748.7730093535115,1482.0925445228413,-122.70312712411624,122.70312712411624,12.124814933213067
2018-09-05,881,1244.4112291985557,896.6051957303544,1641.2434420618465,-363.4112291985557,363.4112291985557,41.249855754660125
2018-09-06,1026,1339.417109006181,994.7761148014757,1684.2275426542835,-313.4171090061809,313.4171090061809,30.547476511323673
2018-09-07,1491,1712.333392511716,1361.8409909524914,2074.274660353939,-221.33339251171606,221.33339251171606,14.844627264367274
2018-09-08,2133,2206.8179117105988,1833.1572842765677,2577.0510209647664,-73.81791171059876,73.81791171059876,3.460755354458451
2018-09-09,2143,2275.144979881531,1920.6220443153754,2634.5911307871756,-132.14497988153107,132.14497988153107,6.166354637495617
2018-09-10,966,1423.317260191015,1051.4029575837328,1789.8596888307854,-457.31726019101507,457.31726019101507,47.341331282713774
2018-09-11,1123,1256.2387201346664,885.2954722961624,1624.909353242779,-133.23872013466644,133.23872013466644,11.864534295161748
2018-09-12,1080,1367.2579682728708,978.9555925147002,1734.953945652256,-287.2579682728708,287.2579682728708,26.597960025265817
2018-09-13,1030,1461.4215106887666,1068.74784757158,1834.25734414883,-431.4215106887666,431.4215106887666,41.88558356201618
2018-09-14,1503,1831.315161144124,1461.2647423104659,2227.162989573568,-328.315161144124,328.315161144124,21.84398943074677
2018-09-15,2407,2320.6098258150632,1964.3408739492832,2700.549125415188,86.39017418493677,86.39017418493677,3.589122317612662
2018-09-16,2512,2381.6338170032204,2011.5153762722775,2753.785459600423,130.36618299677957,130.36618299677957,5.1897365842667025
2018-09-17,1195,1520.4849418067524,1181.0434075613264,1882.830560555194,-325.48494180675243,325.48494180675243,27.237233623996023
2018-09-18,1046,1342.2028272349407,997.3037746964563,1698.0784046231158,-296.20282723494074,296.20282723494074,28.317669907738118
2018-09-19,1177,1440.3107657187606,1068.323615465784,1835.0459111164157,-263.31076571876065,263.31076571876065,22.371347979503877
2018-09-20,1211,1520.0666252630417,1169.2583539524894,1897.1702868869052,-309.0666252630417,309.0666252630417,25.52160406796381
2018-09-21,1837,1874.3010846836503,1483.2971845003185,2224.321249164014,-37.30108468365029,37.30108468365029,2.0305435320441094
2018-09-22,2240,2346.9594608608236,1994.3389269787829,2709.3255355001315,-106.95946086082358,106.95946086082358,4.774975931286767
2018-09-23,2287,2390.669347389859,2000.7951414084014,2740.981084192349,-103.66934738985901,103.66934738985901,4.532984144724924
2018-09-24,930,1511.847393480056,1156.4723551199654,1851.94996225705,-581.8473934800561,581.8473934800561,62.564235858070546
2018-09-25,1040,1315.8657837848273,963.1301811728385,1694.0123394545772,-275.8657837848273,275.8657837848273,26.52555613315647
2018-09-26,991,1396.5878167625235,1051.479084475568,1749.953731044088,-405.5878167625235,405.5878167625235,40.92712580852911
2018-09-27,1253,1459.6122514109336,1109.1256116691225,1832.792273561128,-206.6122514109336,206.6122514109336,16.489405539579696
2018-09-28,2024,1798.1048178915244,1438.5585853810337,2158.348781354457,225.89518210847564,225.89518210847564,11.160829155557096
2018-09-29,2647,2256.333300352936,1872.4700980919101,2615.888975585419,390.666699647064,390.666699647064,14.758847738838835
2018-09-30,2409,2287.2285560766813,1927.4042155858153,2656.7249346022704,121.77144392331866,121.77144392331866,5.054854459249426
